date,act,aus
2021-03-23,,5075
2021-03-24,,6269
2021-03-25,,10463
2021-03-26,,13673
2021-03-27,,15506
2021-03-28,,16781
2021-03-29,,24488
2021-03-30,,24545
2021-03-31,,30470
2021-04-01,,34252
2021-04-02,,65164
2021-04-03,,66281
2021-04-04,,67238
2021-04-05,,67550
2021-04-06,,68931
2021-04-07,,76291
2021-04-08,,75493
2021-04-09,,82772
2021-04-10,,88215
2021-04-11,,89052
2021-04-12,,89556
2021-04-13,,95635
2021-04-14,,100622
2021-04-15,,105552
2021-04-16,,109774
2021-04-17,,113265
2021-04-18,,114273
2021-04-19,,114775
2021-04-20,,117892
2021-04-21,,132338
2021-04-22,,136277
2021-04-23,,132916
2021-04-24,,134249
2021-04-25,,135256
2021-04-26,,135278
2021-04-27,,136117
2021-04-28,,138815
2021-04-29,,140991
2021-04-30,,143487
2021-05-01,,145904
2021-05-02,,146346
2021-05-03,,146546
2021-05-04,,148962
2021-05-05,,152319
2021-05-06,,155362
2021-05-07,,159127
2021-05-08,,162569
2021-05-09,,163265
2021-05-10,,163586
2021-05-11,,166641
2021-05-12,,169887
2021-05-13,,175049
2021-05-14,,178468
2021-05-15,,182630
2021-05-16,,183689
2021-05-17,,184476
2021-05-18,,189823
2021-05-19,13826,208908
2021-05-20,13826,214038
2021-05-21,,206162
2021-05-22,,211005
2021-05-23,,212940
2021-05-24,16656,416293
2021-05-25,16656,419237
2021-05-26,19309,472882
2021-05-27,19309,481681
2021-05-28,19309,491319
2021-05-29,19309,496024
2021-05-30,19309,497821
2021-05-31,19309,499237
2021-06-01,19309,502968
2021-06-02,21153,540631
2021-06-03,21153,548892
2021-06-04,21153,557475
2021-06-05,21153,564816
2021-06-06,21153,568490
2021-06-07,21153,575984
2021-06-08,25439,635116
2021-06-09,25439,649574
2021-06-10,25439,656482
2021-06-11,25439,668997
2021-06-12,25439,683397
2021-06-13,25439,693242
2021-06-14,25439,694872
2021-06-15,25439,698892
2021-06-16,28967,778333
2021-06-17,28967,800566
2021-06-18,28967,821007
2021-06-19,28967,841202
2021-06-20,28967,857720
2021-06-21,28967,864359
2021-06-22,35790,1087344
2021-06-23,35790,1114401
2021-06-24,35790,1130791
2021-06-25,35790,1169716
2021-06-26,35790,1192153
2021-06-27,35790,1211798
2021-06-28,35790,1222021
2021-06-29,42467,1477360
2021-06-30,42467,1501475
2021-07-01,42467,1520932
2021-07-02,47464,1726030
2021-07-03,49843,1807994
2021-07-04,50219,1855470
2021-07-05,50816,1877342
2021-07-06,53654,1943939
2021-07-07,54496,2023638
2021-07-08,55752,2099169
2021-07-09,56751,2180230
2021-07-10,58429,2254272
2021-07-11,58931,2303513
2021-07-12,59392,2325386
2021-07-13,62082,2400432
2021-07-14,63580,2488298
2021-07-15,64995,2578152
2021-07-16,65961,2669571
2021-07-17,67331,2753119
2021-07-18,68133,2801465
2021-07-19,68264,2827855
2021-07-20,74460,2906341
2021-07-21,75941,2994218
2021-07-22,76715,3089644
2021-07-23,79250,3182918
2021-07-24,80144,3271447
2021-07-25,80691,3326691
2021-07-26,80804,3358477
2021-07-27,87180,3444461
2021-07-28,88956,3544484
2021-07-29,73361,3656540
2021-07-30,74508,3762007
2021-07-31,76910,3865785
2021-08-01,78713,3927056
2021-08-02,79341,3964723
2021-08-03,82284,4061924
2021-08-04,84043,4174026
2021-08-05,85228,4289820
2021-08-06,86247,4408805
2021-08-07,88212,4526588
2021-08-08,89739,4611321
2021-08-09,90765,4651958
2021-08-10,93380,4761140
2021-08-11,94513,4892237
2021-08-12,97035,5023297
2021-08-13,98445,5158400
2021-08-14,103014,5295788
2021-08-15,104279,5372888
2021-08-16,104819,5409686
2021-08-17,107593,5542237
2021-08-18,110697,5671442
2021-08-19,112125,5815832
2021-08-20,117405,5958723
2021-08-21,122835,6103421
2021-08-22,123827,6190566
2021-08-23,124694,6240640
2021-08-24,129260,6368421
2021-08-25,130437,6508204
2021-08-26,133495,6661200
2021-08-27,137456,6808469
2021-08-28,139112,6950122
2021-08-29,139929,7044253
2021-08-30,140871,7095576
2021-08-31,142253,7222529
2021-09-01,147551,7369320
2021-09-02,150907,7512554
2021-09-03,153262,7653638
2021-09-04,155901,7793356
2021-09-05,157819,7879487
2021-09-06,159406,7924726
2021-09-07,161561,8046566
2021-09-08,164796,8186949
2021-09-09,167412,8330598
2021-09-10,169867,8482722
2021-09-11,172327,8631565
2021-09-12,174745,8720390
2021-09-13,176741,8773858
2021-09-14,179384,8921250
2021-09-15,182405,9066250
2021-09-16,184994,9215782
2021-09-17,187502,9360385
2021-09-18,190242,9529749
2021-09-19,192709,9633085
2021-09-20,193955,9700423
2021-09-21,196181,9853616
2021-09-22,199773,10018707
2021-09-23,202402,10183666
2021-09-24,204965,10355227
2021-09-25,207886,10522536
2021-09-26,210310,10634837
2021-09-27,211978,10703942
2021-09-28,214638,10861999
2021-09-29,217832,11039616
2021-09-30,219885,11202638
2021-10-01,223427,11386339
2021-10-02,226579,11571446
2021-10-03,229808,11689936
2021-10-04,232360,11766864
2021-10-05,234025,11868894
2021-10-06,237687,12084896
2021-10-07,241471,12293262
2021-10-08,245592,12503241
2021-10-09,249053,12720856
2021-10-10,252602,12883681
2021-10-11,255390,12998286
2021-10-12,259048,13212457
2021-10-13,263992,13446945
2021-10-14,268139,13672371
2021-10-15,270939,13891163
2021-10-16,275495,14101561
2021-10-17,279915,14245406
2021-10-18,283421,14360419
2021-10-19,287756,14558572
2021-10-20,292203,14753069
2021-10-21,296693,14946699
2021-10-22,301804,15144905
2021-10-23,306662,15342065
2021-10-24,311454,15484232
2021-10-25,313945,15569263
2021-10-26,318685,15733744
2021-10-27,322834,15893583
2021-10-28,326032,16050115
2021-10-29,329116,16212257
2021-10-30,331570,16363567
2021-10-31,333830,16469355
2021-11-01,334862,16529442
2021-11-02,337113,16678894
2021-11-03,338983,16777488
2021-11-04,340560,16907279
2021-11-05,342025,17033089
2021-11-06,343471,17164167
2021-11-07,344384,17237996
2021-11-08,345109,17283428
2021-11-09,346194,17389176
2021-11-10,347141,17487181
2021-11-11,348085,17582957
2021-11-12,349096,17680831
2021-11-13,349912,17778385
2021-11-14,350395,17835028
2021-11-15,350650,17872077
2021-11-16,351356,17958614
2021-11-17,352062,18041042
2021-11-18,352703,18116999
2021-11-19,353376,18192428
2021-11-20,353939,18266176
2021-11-21,354270,18309411
2021-11-22,354329,18323181
2021-11-23,355011,18410862
2021-11-24,355508,18472524
2021-11-25,355875,18533097
2021-11-26,356144,18594054
2021-11-27,356535,18655024
2021-11-28,356702,18685541
2021-11-29,356889,18704697
2021-11-30,357214,18759075
2021-12-01,357554,18808812
2021-12-02,357791,18858248
2021-12-03,357991,18910601
2021-12-04,358273,18962130
2021-12-05,358420,18990458
2021-12-06,358519,19008755
2021-12-07,358766,19055462
2021-12-08,358999,19101361
2021-12-09,359161,19149409
2021-12-10,359297,19196983
2021-12-11,359515,19238301
2021-12-12,359625,19262415
2021-12-13,359653,19271471
2021-12-14,359854,19329106
2021-12-15,360059,19375276
2021-12-16,360205,19421269
2021-12-17,360392,19468074
2021-12-18,360565,19515162
2021-12-19,360650,19538547
2021-12-20,360700,19553057
2021-12-21,360818,19587839
2021-12-22,360988,19620308
2021-12-23,361106,19651146
2021-12-24,361202,19678606
2021-12-25,,
2021-12-26,,
2021-12-27,361257,19699622
2021-12-28,361260,19704056
